
Minimum time:  760	(0.076 ms)

Test #		Time
319:		817	(0.0817 ms)
320:		864	(0.0864 ms)
321:		835	(0.0835 ms)
322:		819	(0.0819 ms)
323:		853	(0.0853 ms)
324:		826	(0.0826 ms)
325:		821	(0.0821 ms)
326:		851	(0.0851 ms)
327:		827	(0.0827 ms)
328:		823	(0.0823 ms)
329:		817	(0.0817 ms)
330:		852	(0.0852 ms)
331:		825	(0.0825 ms)
332:		818	(0.0818 ms)
333:		862	(0.0862 ms)
334:		825	(0.0825 ms)
335:		816	(0.0816 ms)
336:		871	(0.0871 ms)
337:		818	(0.0818 ms)
338:		832	(0.0832 ms)
339:		869	(0.0869 ms)
340:		822	(0.0822 ms)
341:		815	(0.0815 ms)
342:		858	(0.0858 ms)
343:		824	(0.0824 ms)
344:		818	(0.0818 ms)
345:		854	(0.0854 ms)
346:		820	(0.082 ms)
347:		818	(0.0818 ms)
348:		860	(0.086 ms)
349:		822	(0.0822 ms)
350:		818	(0.0818 ms)
351:		889	(0.0889 ms)
352:		831	(0.0831 ms)
353:		823	(0.0823 ms)
354:		850	(0.085 ms)
355:		806	(0.0806 ms)
356:		819	(0.0819 ms)
357:		856	(0.0856 ms)
358:		825	(0.0825 ms)
359:		819	(0.0819 ms)
360:		816	(0.0816 ms)
361:		851	(0.0851 ms)
362:		822	(0.0822 ms)
363:		833	(0.0833 ms)
364:		858	(0.0858 ms)
365:		823	(0.0823 ms)
366:		820	(0.082 ms)
367:		861	(0.0861 ms)
368:		831	(0.0831 ms)
369:		823	(0.0823 ms)
370:		862	(0.0862 ms)
371:		823	(0.0823 ms)
372:		815	(0.0815 ms)
373:		861	(0.0861 ms)
374:		787	(0.0787 ms)
375:		807	(0.0807 ms)
376:		858	(0.0858 ms)
377:		825	(0.0825 ms)
378:		821	(0.0821 ms)
379:		855	(0.0855 ms)
380:		826	(0.0826 ms)
381:		816	(0.0816 ms)
382:		859	(0.0859 ms)
383:		821	(0.0821 ms)
384:		817	(0.0817 ms)
385:		864	(0.0864 ms)
386:		822	(0.0822 ms)
387:		831	(0.0831 ms)
388:		820	(0.082 ms)
389:		860	(0.086 ms)
390:		822	(0.0822 ms)
391:		817	(0.0817 ms)
392:		861	(0.0861 ms)
393:		819	(0.0819 ms)
394:		823	(0.0823 ms)
395:		861	(0.0861 ms)
396:		821	(0.0821 ms)
397:		818	(0.0818 ms)
398:		860	(0.086 ms)
399:		1008	(0.1008 ms)
400:		815	(0.0815 ms)
401:		889	(0.0889 ms)
402:		807	(0.0807 ms)
403:		819	(0.0819 ms)
404:		862	(0.0862 ms)
405:		824	(0.0824 ms)
406:		824	(0.0824 ms)
407:		858	(0.0858 ms)
408:		822	(0.0822 ms)
409:		819	(0.0819 ms)
410:		872	(0.0872 ms)
411:		822	(0.0822 ms)
412:		820	(0.082 ms)
413:		869	(0.0869 ms)
414:		824	(0.0824 ms)
415:		823	(0.0823 ms)
416:		871	(0.0871 ms)
417:		821	(0.0821 ms)
418:		824	(0.0824 ms)
419:		862	(0.0862 ms)
420:		823	(0.0823 ms)
421:		822	(0.0822 ms)
422:		863	(0.0863 ms)
423:		821	(0.0821 ms)
424:		825	(0.0825 ms)
425:		859	(0.0859 ms)
426:		828	(0.0828 ms)
427:		824	(0.0824 ms)
428:		818	(0.0818 ms)
429:		861	(0.0861 ms)
430:		818	(0.0818 ms)
431:		816	(0.0816 ms)
432:		870	(0.087 ms)
433:		822	(0.0822 ms)
434:		831	(0.0831 ms)
435:		859	(0.0859 ms)
436:		819	(0.0819 ms)
437:		820	(0.082 ms)
438:		857	(0.0857 ms)
439:		826	(0.0826 ms)
440:		819	(0.0819 ms)
441:		855	(0.0855 ms)
442:		826	(0.0826 ms)
443:		801	(0.0801 ms)
444:		817	(0.0817 ms)
445:		823	(0.0823 ms)
446:		834	(0.0834 ms)
447:		873	(0.0873 ms)
448:		828	(0.0828 ms)
449:		825	(0.0825 ms)
450:		857	(0.0857 ms)
451:		821	(0.0821 ms)
452:		820	(0.082 ms)
453:		851	(0.0851 ms)
454:		825	(0.0825 ms)
455:		821	(0.0821 ms)
456:		820	(0.082 ms)
457:		861	(0.0861 ms)
458:		829	(0.0829 ms)
459:		817	(0.0817 ms)
460:		857	(0.0857 ms)
461:		831	(0.0831 ms)
462:		817	(0.0817 ms)
463:		868	(0.0868 ms)
464:		822	(0.0822 ms)
465:		820	(0.082 ms)
466:		868	(0.0868 ms)
467:		824	(0.0824 ms)
468:		818	(0.0818 ms)
469:		861	(0.0861 ms)
470:		830	(0.083 ms)
471:		817	(0.0817 ms)
472:		857	(0.0857 ms)
473:		820	(0.082 ms)
474:		816	(0.0816 ms)
475:		852	(0.0852 ms)
476:		817	(0.0817 ms)
477:		820	(0.082 ms)
478:		850	(0.085 ms)
479:		824	(0.0824 ms)
480:		818	(0.0818 ms)
481:		870	(0.087 ms)
482:		832	(0.0832 ms)
483:		827	(0.0827 ms)
484:		852	(0.0852 ms)
485:		822	(0.0822 ms)
486:		823	(0.0823 ms)
487:		822	(0.0822 ms)
488:		863	(0.0863 ms)
489:		824	(0.0824 ms)
490:		820	(0.082 ms)
491:		860	(0.086 ms)
492:		823	(0.0823 ms)
493:		822	(0.0822 ms)
494:		870	(0.087 ms)
495:		824	(0.0824 ms)
496:		820	(0.082 ms)
497:		867	(0.0867 ms)
498:		825	(0.0825 ms)
499:		819	(0.0819 ms)
500:		866	(0.0866 ms)
501:		825	(0.0825 ms)
502:		822	(0.0822 ms)
503:		858	(0.0858 ms)
504:		826	(0.0826 ms)
505:		825	(0.0825 ms)
506:		864	(0.0864 ms)
507:		825	(0.0825 ms)
508:		822	(0.0822 ms)
509:		859	(0.0859 ms)
510:		827	(0.0827 ms)
511:		823	(0.0823 ms)
512:		861	(0.0861 ms)
513:		826	(0.0826 ms)
514:		826	(0.0826 ms)
515:		869	(0.0869 ms)
516:		828	(0.0828 ms)
517:		820	(0.082 ms)
518:		868	(0.0868 ms)
519:		828	(0.0828 ms)
520:		824	(0.0824 ms)
521:		821	(0.0821 ms)
522:		856	(0.0856 ms)
523:		821	(0.0821 ms)
524:		820	(0.082 ms)
525:		859	(0.0859 ms)
526:		820	(0.082 ms)
527:		817	(0.0817 ms)
528:		861	(0.0861 ms)
529:		822	(0.0822 ms)
530:		832	(0.0832 ms)
531:		874	(0.0874 ms)
532:		826	(0.0826 ms)
533:		822	(0.0822 ms)
534:		859	(0.0859 ms)
535:		824	(0.0824 ms)
536:		822	(0.0822 ms)
537:		879	(0.0879 ms)
538:		825	(0.0825 ms)
539:		825	(0.0825 ms)
540:		855	(0.0855 ms)
541:		821	(0.0821 ms)
542:		839	(0.0839 ms)
543:		857	(0.0857 ms)
544:		823	(0.0823 ms)
545:		825	(0.0825 ms)
546:		879	(0.0879 ms)
547:		827	(0.0827 ms)
548:		824	(0.0824 ms)
549:		859	(0.0859 ms)
550:		826	(0.0826 ms)
551:		823	(0.0823 ms)
552:		854	(0.0854 ms)
553:		824	(0.0824 ms)
554:		832	(0.0832 ms)
555:		819	(0.0819 ms)
556:		831	(0.0831 ms)
557:		824	(0.0824 ms)
558:		822	(0.0822 ms)
559:		858	(0.0858 ms)
560:		828	(0.0828 ms)
561:		825	(0.0825 ms)
562:		870	(0.087 ms)
563:		829	(0.0829 ms)
564:		821	(0.0821 ms)
565:		870	(0.087 ms)
566:		838	(0.0838 ms)
567:		824	(0.0824 ms)
568:		864	(0.0864 ms)
569:		823	(0.0823 ms)
570:		819	(0.0819 ms)
571:		854	(0.0854 ms)
572:		808	(0.0808 ms)
573:		820	(0.082 ms)
574:		860	(0.086 ms)
575:		811	(0.0811 ms)
576:		811	(0.0811 ms)
577:		858	(0.0858 ms)
578:		949	(0.0949 ms)
579:		822	(0.0822 ms)
580:		879	(0.0879 ms)
581:		822	(0.0822 ms)
582:		822	(0.0822 ms)
583:		862	(0.0862 ms)
584:		828	(0.0828 ms)
585:		824	(0.0824 ms)
586:		857	(0.0857 ms)
587:		822	(0.0822 ms)
588:		821	(0.0821 ms)
589:		821	(0.0821 ms)
590:		871	(0.0871 ms)
591:		826	(0.0826 ms)
592:		821	(0.0821 ms)
593:		866	(0.0866 ms)
594:		827	(0.0827 ms)
595:		826	(0.0826 ms)
596:		864	(0.0864 ms)
597:		825	(0.0825 ms)
598:		819	(0.0819 ms)
599:		858	(0.0858 ms)
600:		820	(0.082 ms)
601:		820	(0.082 ms)
602:		873	(0.0873 ms)
